Series,Episode,AirDate,Chaser,P1,P2,P3,P4,NPlayers,PTotal,playerScore,chaserScore,playerWin,remainingTime
7,145,2014-06-11,Mark Labbett,4000.0,6000.0,6000.0,0.0,3.0,16000.0,22,18,True,0.0
8,1,2014-09-01,Anne Hegerty,6000.0,6000.0,4000.0,6000.0,4.0,22000.0,20,19,True,0.0
8,2,2014-09-02,Mark Labbett,0.0,6000.0,0.0,0.0,1.0,6000.0,13,13,False,19.0
8,3,2014-09-03,Shaun Wallace,5000.0,5000.0,6000.0,8000.0,4.0,24000.0,19,19,False,10.0
8,4,2014-09-05,Anne Hegerty,5000.0,35000.0,6000.0,7000.0,4.0,53000.0,18,18,False,24.0
8,5,2014-09-04,Paul Sinha,0.0,0.0,0.0,50000.0,1.0,50000.0,18,16,True,0.0
8,6,2014-09-08,Paul Sinha,9000.0,6000.0,6000.0,4000.0,4.0,25000.0,16,16,False,21.0
8,7,2014-09-09,Anne Hegerty,2000.0,5000.0,6000.0,47000.0,4.0,60000.0,16,16,False,36.0
8,8,2014-09-10,Mark Labbett,2000.0,6000.0,500.0,6000.0,4.0,14500.0,24,14,True,0.0
8,9,2014-09-11,Shaun Wallace,0.0,6000.0,0.0,4000.0,2.0,10000.0,16,16,False,44.0
8,10,2014-09-12,Mark Labbett,7000.0,0.0,0.0,6000.0,2.0,13000.0,17,17,False,11.0
8,11,2014-09-15,Shaun Wallace,0.0,6000.0,0.0,0.0,1.0,6000.0,15,15,False,19.0
8,12,2014-09-16,Mark Labbett,6000.0,0.0,0.0,0.0,1.0,6000.0,20,20,False,1.0
8,13,2014-09-17,Anne Hegerty,0.0,0.0,3000.0,5000.0,2.0,8000.0,14,14,False,46.0
8,14,2014-09-18,Shaun Wallace,8000.0,5000.0,4000.0,0.0,3.0,17000.0,19,15,True,0.0
8,15,2014-09-19,Paul Sinha,0.0,3000.0,3000.0,2000.0,3.0,8000.0,17,17,False,5.0
8,16,2014-09-22,Mark Labbett,0.0,4000.0,0.0,0.0,1.0,4000.0,15,15,False,30.0
8,17,2014-09-23,Paul Sinha,3000.0,6000.0,6000.0,4000.0,4.0,19000.0,20,19,True,0.0
8,18,2014-09-24,Shaun Wallace,5000.0,0.0,0.0,35000.0,2.0,40000.0,11,11,False,0.0
8,19,2014-09-25,Anne Hegerty,8000.0,4000.0,1000.0,-1000.0,3.0,12000.0,19,16,True,0.0
8,20,2014-09-26,Paul Sinha,5000.0,0.0,4000.0,5000.0,3.0,14000.0,15,15,False,43.0
8,21,2014-09-29,Anne Hegerty,28000.0,6000.0,0.0,1000.0,3.0,35000.0,16,16,False,32.0
8,22,2014-09-30,Paul Sinha,1000.0,0.0,3000.0,4000.0,3.0,8000.0,16,16,False,46.0
8,23,2014-10-01,Anne Hegerty,3000.0,30000.0,0.0,0.0,2.0,33000.0,17,16,True,0.0
8,24,2014-10-02,Shaun Wallace,0.0,0.0,0.0,5000.0,1.0,5000.0,12,12,False,51.0
8,25,2014-10-03,Mark Labbett,0.0,3000.0,0.0,0.0,1.0,3000.0,13,13,False,44.0
8,26,2014-10-06,Shaun Wallace,4000.0,0.0,1000.0,0.0,2.0,5000.0,15,15,False,3.0
8,27,2014-10-07,Mark Labbett,0.0,0.0,3000.0,0.0,1.0,3000.0,9,9,False,66.0
8,28,2014-10-08,Anne Hegerty,6000.0,30000.0,0.0,0.0,2.0,36000.0,15,15,False,21.0
8,29,2014-10-14,Mark Labbett,7000.0,0.0,5000.0,-2000.0,2.0,10000.0,19,15,True,0.0
8,30,2014-10-10,Paul Sinha,7000.0,7000.0,0.0,3000.0,3.0,17000.0,16,16,False,26.0
8,31,2014-10-13,Paul Sinha,4000.0,6000.0,0.0,0.0,2.0,10000.0,18,18,False,15.0
8,32,2014-10-09,Shaun Wallace,0.0,4000.0,9000.0,-1000.0,2.0,12000.0,19,17,True,0.0
8,33,2014-10-16,Mark Labbett,2000.0,8000.0,3000.0,0.0,3.0,13000.0,18,18,False,24.0
8,34,2014-10-15,Anne Hegerty,3000.0,0.0,5000.0,0.0,2.0,8000.0,13,13,False,61.0
8,35,2014-10-17,Shaun Wallace,6000.0,36000.0,0.0,-6000.0,2.0,36000.0,13,13,False,56.0
8,36,2015-01-19,Mark Labbett,5000.0,5000.0,-1000.0,0.0,2.0,9000.0,12,12,False,26.0
8,37,2015-01-20,Shaun Wallace,0.0,5000.0,3000.0,0.0,2.0,8000.0,18,15,True,0.0
8,38,2015-01-21,Paul Sinha,5000.0,0.0,8000.0,5000.0,3.0,18000.0,21,19,True,0.0
8,39,2015-01-22,Anne Hegerty,0.0,0.0,1000.0,0.0,1.0,1000.0,8,8,False,58.0
8,40,2015-01-23,Paul Sinha,5000.0,0.0,0.0,5000.0,2.0,10000.0,15,15,False,50.0
8,41,2014-11-07,Paul Sinha,2000.0,5000.0,0.0,0.0,2.0,7000.0,18,18,False,9.0
8,42,2014-11-18,Paul Sinha,0.0,8000.0,0.0,0.0,1.0,8000.0,18,18,False,4.0
8,43,2015-06-02,Mark Labbett,0.0,7000.0,1000.0,0.0,2.0,8000.0,14,14,False,60.0
8,44,2014-11-20,Anne Hegerty,3000.0,10000.0,-1000.0,5000.0,3.0,17000.0,24,13,True,0.0
8,45,2015-03-02,Shaun Wallace,4000.0,6000.0,0.0,0.0,2.0,10000.0,15,15,False,26.0
8,46,2014-11-24,Shaun Wallace,0.0,7000.0,3000.0,0.0,2.0,10000.0,10,10,False,18.0
8,47,2014-11-25,Anne Hegerty,0.0,0.0,5000.0,7000.0,2.0,12000.0,13,13,False,42.0
8,48,2014-11-26,Shaun Wallace,5000.0,0.0,7000.0,0.0,2.0,12000.0,15,12,True,0.0
8,49,2014-11-27,Mark Labbett,5000.0,7000.0,4000.0,7000.0,4.0,23000.0,18,18,False,3.0
8,50,2014-11-28,Paul Sinha,4000.0,25000.0,3000.0,6000.0,4.0,38000.0,23,22,True,0.0
8,51,2014-12-01,Anne Hegerty,7000.0,5000.0,0.0,0.0,2.0,12000.0,14,14,False,14.0
8,52,2014-12-02,Mark Labbett,7000.0,7000.0,0.0,6000.0,3.0,20000.0,19,12,True,0.0
8,53,2014-12-03,Shaun Wallace,5000.0,0.0,6000.0,0.0,2.0,11000.0,14,14,False,40.0
8,54,2014-12-04,Paul Sinha,6000.0,0.0,2000.0,8000.0,3.0,16000.0,18,18,False,26.0
8,55,2014-12-05,Mark Labbett,0.0,0.0,6000.0,1000.0,2.0,7000.0,15,15,False,43.0
8,56,2014-12-08,Paul Sinha,4000.0,24000.0,0.0,0.0,2.0,28000.0,14,14,False,11.0
8,57,2014-12-09,Anne Hegerty,0.0,0.0,0.0,50000.0,1.0,50000.0,18,18,False,1.0
8,58,2014-12-10,Mark Labbett,5000.0,0.0,3000.0,2000.0,3.0,10000.0,12,12,False,58.0
8,59,2014-12-11,Paul Sinha,5000.0,0.0,3000.0,6000.0,3.0,14000.0,16,15,True,0.0
